Infinitiv,Präsens,Partizip II,Präteritum,Konjunktiv II,Übersetzung,Beschreibung,Kasus,Treffer Konjugations,Treffer Deutsch,Treffer Spanisch
prüfen,prüft,hat geprüft,prüfte,prüfte,examinar,-,Akk,0/0,0/0,0/0
untersuchen,untersucht,hat untersucht,untersuchte,untersuchte,examinar,-,Akk,0/0,0/0,0/0
sorgen,sorgt,hat gesorgt,sorgte,sorgte,preocuparse por,-,Akk,0/0,0/0,0/0
tanken,tankt,hat getankt,tankte,tankte,llenar el tanque,-,Akk,0/0,0/0,0/0
verbrauchen,verbraucht,hat verbraucht,verbrauchte,verbrauchte,consumir,-,Akk,0/0,0/0,0/0
warnen,warnt,hat gewarnt,warnte,warnte,advertir,-,Akk,0/0,0/0,0/0
entschuldigen,entschuldigt sich,hat sich entschuldigt,entschuldigte sich,entschuldigte sich,disculparse,-,-,0/0,0/0,0/0
erziehen,erzieht,hat erzogen,erzog,erzüge,educar,-,Akk,0/0,0/0,0/0
hassen,hasst,hat gehasst,hasste,hasste,odiar,-,Akk,0/0,0/0,0/0
kümmern,kümmert sich,hat sich gekümmert,kümmerte sich,kümmerte sich,ocuparse de,-,Akk,0/0,0/0,0/0
langweilen,langweilt sich,hat sich gelangweilt,langweilte sich,langweilte sich,aburrirse,-,Akk,0/0,0/0,0/0
schlagen,schlägt,hat geschlagen,schlug,schlüge,golpear,-,Akk,0/0,0/0,0/0
sparen,spart,hat gespart,sparte,sparte,ahorrar,-,Akk,0/0,0/0,0/0
streiten,streitet sich,hat sich gestritten,stritt sich,stritte sich,pelearse,-,-,0/0,0/0,0/0
töten,tötet,hat getötet,tötete,tötete,matar,-,Akk,0/0,0/0,0/0
fließen,fließt,ist geflossen,floss,flösse,fluir,-,-,0/0,0/0,0/0
mitmachen,macht mit,hat mitgemacht,machte mit,machte mit,participar,-,-,0/0,0/0,0/0
trennen,trennt,hat getrennt,trennte,trennte,separar,-,Akk,0/0,0/0,0/0
überraschen,überrascht,hat überrascht,überraschte,überraschte,sorprender,-,Akk,0/0,0/0,0/0
verbrennen,verbrennt,hat verbrannt,verbrannte,verbrannte,quemar,-,Akk,0/0,0/0,0/0
einigen,einigt sich,hat sich geeinigt,einigte sich,einigte sich,ponerse de acuerdo,-,-,0/0,0/0,0/0
einwandern,wandert ein,ist eingewandert,wanderte ein,wanderte ein,inmigrar,-,-,0/0,0/0,0/0
erkennen,erkennt,hat erkannt,erkannte,erkennte,reconocer,-,Akk,0/0,0/0,0/0
gewöhnen,gewöhnt sich,hat sich gewöhnt,gewöhnte sich,gewöhnte sich,acostumbrarse,-,Akk,0/0,0/0,0/0
reservieren,reserviert,hat reserviert,reservierte,reservierte,reservar,-,Akk,0/0,0/0,0/0
retten,rettet,hat gerettet,rettete,rettete,salvar,-,Akk,0/0,0/0,0/0
wiegen,wiegt,hat gewogen,wog,wöge,pesar,-,Akk,0/0,0/0,0/0
begleiten,begleitet,hat begleitet,begleitete,begleitete,acompañar,-,Akk,0/0,0/0,0/0
demonstrieren,demonstriert,hat demonstriert,demonstrierte,demonstrierte,demostrar,-,Akk,0/0,0/0,0/0
vormachen,macht vor,hat vorgemacht,machte vor,machte vor,demostrar/enseñar,mostrar como se hace algo,-,0/0,0/0,0/0
erweisen,erweist,hat erwiesen,erwies,erwiese,demostrar,hechos o pruebas,Dat,0/0,0/0,0/0
täuschen,täuscht,hat getäuscht,täuschte,täuschte,engañar,-,-,0/0,0/0,0/0
entschließen,entschließt sich,hat sich entschlossen,entschloss sich,entschlösse sich,decidirse,-,-,0/0,0/0,0/0
unterschreiben,unterschreibt,hat unterschrieben,unterschrieb,unterschriebe,firmar,-,Akk,0/0,0/0,0/0
unterzeichnen,unterzeichnet,hat unterzeichnet,unterzeichnete,unterzeichnete,firmar,-,-,0/0,0/0,0/0
kürzen,kürzt,hat gekürzt,kürzte,kürzte,acortar/reducir,-,Akk,0/0,0/0,0/0
schweigen,schweigt,hat geschwiegen,schwieg,schwiege,callar/guardar silencio,-,-,0/0,0/0,0/0
verzweifeln,verzweifelt,ist verzweifelt,verzweifelte,verzweifelte,desesperarse,-,-,0/0,0/0,0/0
stammeln,stammelt,hat gestammelt,stammelte,stammelte,balbucear,-,-,0/0,0/0,0/0
jammern,jammert,hat gejammert,jammerte,jammerte,lloriquear,-,-,0/0,0/0,0/0
