Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
-,Türke,Türkin,-,-in,Turco(a),-,0/0 11-02-24,0/0 11-02-24
s,Belgien,-,-,-,Bélgica,-,0/0 11-02-24,0/0 11-02-24
-,Belgier,Belgierin,-,-in,Belga,-,0/0 11-02-24,1/2 11-02-24
r,Bulgar,-,-n,-,Búlgaro,-,0/0 11-02-24,1/2 11-02-24
-,Bulgarin,Bulgaren,-,-nen,Búlgaro(a),-,0/0 11-02-24,0/0 11-02-24
s,Dänemark,-,-,-,Dinamarca,-,0/0 11-02-24,1/2 11-02-24
s,Estland,-,-,-,Estonia,-,0/0 11-02-24,1/2 13-02-25
-,Este,Estin,-,-in,Estonio(a),-,0/0 11-02-24,0/0 11-02-24
s,Finnland,-,-,-,Finlandia,-,1/2 11-02-24,0/0 11-02-24
s,Griechenland,-,-,-,Grecia,-,0/0 11-02-24,1/2 14-02-25
s,Großbritannien,-,-,-,Reino Unido,-,0/0 11-02-24,0/0 11-02-24
s,Irland,-,-,-,Irlanda,-,0/0 11-02-24,0/0 11-02-24
-,Ire,Irin,-,-in,Irlandés(a),-,0/0 11-02-24,0/0 11-02-24
s,Lettland,-,-,-,Letonia,-,0/0 11-02-24,0/0 11-02-24
-,Lette,Lettin,-,-in,Letón(a),-,0/0 11-02-24,0/0 11-02-24
s,Litauen,-,-,-,Lituania,-,0/0 11-02-24,0/0 11-02-24
-,Litauer,Litauerin,-,-in,Lituano(a),-,0/0 11-02-24,2/5 15-02-25
s,Luxemburg,-,-,-,Luxemburgo,-,0/0 11-02-24,0/0 11-02-24
-,Luxemburger,Luxemburgerin,-,-in,Luxemburgués(a),-,0/0 11-02-24,0/0 11-02-24
s,Malta,-,-,-,Malta,-,0/0 11-02-24,2/3 11-02-24
-,Malteser,Malteserin,-,-in,Maltés(a),-,1/4 14-02-25,1/2 14-02-25
s,Polen,-,-,-,Polonia,-,1/1 14-02-25,0/0 11-02-24
